GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,ASN1Exception,12,4,0,0,6,2,3,1,3,1
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,ElytronMessages,0,6,0,0,0,1,0,1,0,1
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,DEREncoder.TagComparator,0,10,0,0,0,1,0,1,0,1
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,DERDecoder,560,650,104,64,131,159,85,48,17,32
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,DERDecoder.DecoderState,0,15,0,0,0,6,0,3,0,3
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,ASN1Encodable,40,55,0,0,7,10,8,10,8,10
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,OidsUtil.Category,0,24,0,0,0,3,0,1,0,1
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,DEREncoder,168,1335,40,138,38,317,34,110,3,52
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,DEREncoder.LexicographicComparator,6,32,2,4,1,8,2,2,0,1
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,DEREncoder.EncoderState,0,63,0,0,0,16,0,8,0,8
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,ElytronMessages_.logger,228,126,0,0,52,32,26,16,26,16
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,ASN1,120,150,37,24,39,44,36,20,3,4
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,ASN1Encoder,0,6,0,0,0,2,0,1,0,1
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,OidsUtil,12,155,1,7,3,26,2,6,1,3
WildFly Elytron/wildfly-elytron-asn1,org.wildfly.security.asn1,ASN1Decoder,24,0,0,0,6,0,6,0,6,0
WildFly Elytron/wildfly-elytron-audit,org.wildfly.security.audit,SyslogAuditEndpoint.Builder,79,0,2,0,26,0,11,0,10,0
WildFly Elytron/wildfly-elytron-audit,org.wildfly.security.audit,SyslogAuditEndpoint.new PrivilegedAction() {...},9,0,0,0,2,0,2,0,2,0
WildFly Elytron/wildfly-elytron-audit,org.wildfly.security.audit,FileAuditEndpoint,192,0,14,0,58,0,18,0,11,0
WildFly Elytron/wildfly-elytron-audit,org.wildfly.security.audit,PeriodicRotatingFileAuditEndpoint,211,0,24,0,57,0,20,0,5,0
WildFly Elytron/wildfly-elytron-audit,org.wildfly.security.audit,PeriodicRotatingFileAuditEndpoint.Builder,115,0,14,0,22,0,15,0,4,0
WildFly Elytron/wildfly-elytron-audit,org.wildfly.security.audit,SyslogAuditEndpoint.new TcpOutputStream() {...},9,0,0,0,1,0,1,0,1,0
WildFly Elytron/wildfly-elytron-audit,org.wildfly.security.audit,AuditLogger,63,0,2,0,18,0,4,0,3,0
WildFly Elytron/wildfly-elytron-audit,org.wildfly.security.audit,SizeRotatingFileAuditEndpoint.Builder,45,0,0,0,16,0,7,0,7,0
